Dataset Name,"Algorithm
Name","Cross Validation
[1-10]","Hyper-
Parameters
Values",Accuracy,TPR,TNR,Precision,AUC,Curve,Time train,Time test
cardiotocography-3clases,Random Forest,8,{'n_estimators': 1226  'min_samples_split': 10  'min_samples_leaf': 4  'max_features': 'sqrt'  'max_depth': 65  'bootstrap': True},0.938679245,0.881857621,0.074873264,0.938679245,0.903492178,0.7530617,85.08285689,0.218703032
cardiotocography-3clases,Random Forest,9,{'n_estimators': 1226  'min_samples_split': 10  'min_samples_leaf': 4  'max_features': 'sqrt'  'max_depth': 65  'bootstrap': True},0.938679245,0.859128411,0.068339699,0.938679245,0.895394356,0.75590414,85.99710774,0.28118372
cardiotocography-10clases,Random Forest,0,{'n_estimators': 466  'min_samples_split': 10  'min_samples_leaf': 4  'max_features': 'sqrt'  'max_depth': 76  'bootstrap': True},0.849765258,0.743163781,0.018770699,0.849765258,0.862196541,0.7552439,97.1004045,0.09372735
cardiotocography-10clases,Random Forest,1,{'n_estimators': 800  'min_samples_split': 5  'min_samples_leaf': 4  'max_features': 'sqrt'  'max_depth': 54  'bootstrap': True},0.854460094,0.756838824,0.018058035,0.854460094,0.869390394,0.75476193,97.74666476,0.17183876
cardiotocography-10clases,Random Forest,2,{'n_estimators': 1226  'min_samples_split': 10  'min_samples_leaf': 4  'max_features': 'sqrt'  'max_depth': 65  'bootstrap': True},0.887323944,0.819915079,0.015170227,0.887323944,0,0.7550794,100.3473029,0.234319448
cardiotocography-10clases,Random Forest,3,{'n_estimators': 800  'min_samples_split': 5  'min_samples_leaf': 4  'max_features': 'sqrt'  'max_depth': 54  'bootstrap': True},0.85915493,0.775433863,0.017579515,0.85915493,0.878927174,0.7548045,97.9177382,0.171832561
cardiotocography-10clases,Random Forest,4,{'n_estimators': 800  'min_samples_split': 5  'min_samples_leaf': 4  'max_features': 'sqrt'  'max_depth': 54  'bootstrap': True},0.887323944,0.81387969,0.013851794,0.887323944,0.900013948,0.75519174,98.5350709,0.156212807
cardiotocography-10clases,Random Forest,5,{'n_estimators': 800  'min_samples_split': 5  'min_samples_leaf': 4  'max_features': 'sqrt'  'max_depth': 54  'bootstrap': True},0.840375587,0.761863982,0.019576514,0.840375587,0.871143734,0.75458336,97.58717132,0.171833038
cardiotocography-10clases,Random Forest,6,{'n_estimators': 800  'min_samples_split': 5  'min_samples_leaf': 4  'max_features': 'sqrt'  'max_depth': 54  'bootstrap': True},0.867924528,0.805814394,0.015947144,0.867924528,0.894933625,0.7546087,99.10417485,0.156211138
cardiotocography-10clases,Random Forest,7,{'n_estimators': 314  'min_samples_split': 10  'min_samples_leaf': 4  'max_features': 'sqrt'  'max_depth': 10  'bootstrap': True},0.858490566,0.817791024,0.016674217,0.858490566,0.900558403,0.75446004,96.8083725,0.062485218
cardiotocography-10clases,Random Forest,8,{'n_estimators': 314  'min_samples_split': 10  'min_samples_leaf': 4  'max_features': 'sqrt'  'max_depth': 10  'bootstrap': True},0.849056604,0.741179055,0.018362943,0.849056604,0.861408056,0.75414145,95.63325071,0.078107357
cardiotocography-10clases,Random Forest,9,{'n_estimators': 314  'min_samples_split': 10  'min_samples_leaf': 4  'max_features': 'sqrt'  'max_depth': 10  'bootstrap': True},0.853773585,0.703068258,0.017783389,0.853773585,0.842642435,0.75394785,95.9203546,0.062485456
conn-bench-vowel-deterding,Random Forest,0,{'n_estimators': 709  'min_samples_split': 2  'min_samples_leaf': 1  'max_features': 'auto'  'max_depth': 65  'bootstrap': False},0.98989899,0.990909091,0.000988142,0.98989899,0.994960474,0.7551082,74.70566034,0.124970913
conn-bench-vowel-deterding,Random Forest,1,{'n_estimators': 1378  'min_samples_split': 2  'min_samples_leaf': 1  'max_features': 'sqrt'  'max_depth': 76  'bootstrap': False},0.97979798,0.988636364,0.001991902,0.97979798,0.993322231,0.75616646,78.61152363,0.249943733
conn-bench-vowel-deterding,Random Forest,2,{'n_estimators': 709  'min_samples_split': 2  'min_samples_leaf': 1  'max_features': 'auto'  'max_depth': 65  'bootstrap': False},0.98989899,0.993939394,0.000988142,0.98989899,0.996475626,0.7573147,75.1717658,0.109349728
conn-bench-vowel-deterding,Random Forest,3,{'n_estimators': 1043  'min_samples_split': 2  'min_samples_leaf': 1  'max_features': 'sqrt'  'max_depth': 21  'bootstrap': False},0.96969697,0.977272727,0.00296512,0.96969697,0.987153804,0.7582662,77.06452179,0.203076839
conn-bench-vowel-deterding,Random Forest,4,{'n_estimators': 1043  'min_samples_split': 2  'min_samples_leaf': 1  'max_features': 'sqrt'  'max_depth': 21  'bootstrap': False},1,1,0,1,1,0.7594968,76.94845414,0.187455893
conn-bench-vowel-deterding,Random Forest,5,{'n_estimators': 1378  'min_samples_split': 2  'min_samples_leaf': 1  'max_features': 'sqrt'  'max_depth': 76  'bootstrap': False},0.98989899,0.991735537,0.001033058,0.98989899,0.99535124,0.7606252,85.97407818,0.234318733
conn-bench-vowel-deterding,Random Forest,6,{'n_estimators': 1378  'min_samples_split': 2  'min_samples_leaf': 1  'max_features': 'sqrt'  'max_depth': 76  'bootstrap': False},1,1,0,1,1,0.7618405,79.09976411,0.249943495
conn-bench-vowel-deterding,Random Forest,7,{'n_estimators': 1043  'min_samples_split': 2  'min_samples_leaf': 1  'max_features': 'sqrt'  'max_depth': 21  'bootstrap': False},0.97979798,0.982644628,0.002020451,0.97979798,0.990312088,0.76286083,76.91683412,0.17183423
conn-bench-vowel-deterding,Random Forest,8,{'n_estimators': 1378  'min_samples_split': 2  'min_samples_leaf': 1  'max_features': 'sqrt'  'max_depth': 76  'bootstrap': False},0.97979798,0.983471074,0.001998002,0.97979798,0.990736536,0.7638748,78.40330648,0.249940395
conn-bench-vowel-deterding,Random Forest,9,{'n_estimators': 1378  'min_samples_split': 2  'min_samples_leaf': 1  'max_features': 'sqrt'  'max_depth': 76  'bootstrap': False},1,1,0,1,1,0.7650673,77.74751306,0.249941587
